NAME,IMPORTANT,INSTALLER
base,Y,A
base-devel,S,B
linux,Y,A
linux-firmware,Y,A
santilococo/libxft-bgra.git,N,D
alsa-utils,S,B
clipnotify,N,B
cmake,N,B
efibootmgr,Y,B
git,S,B
gnome-keyring,N,B
grub,Y,B
intel-ucode,Y,B
keepass,N,B
keepass-plugin-keeagent,N,B
keychain,N,B
man-pages,N,B
neovim,Y,B
networkmanager,Y,B
noto-fonts-emoji,N,B
nvidia,N,B
nvidia-settings,N,B
nvidia-utils,N,B
openssh,N,B
p7zip,N,B
pipewire,S,B
pipewire-alsa,S,B
pipewire-pulse,S,B
python-pip,N,B
python-pynvim,N,B
redshift,N,B
reflector,Y,B
sudo,Y,B
ttf-fira-code,N,B
ttf-joypixels,N,B
unzip,N,B
usb_modeswitch,N,B
usbutils,N,B
wget,N,B
xclip,N,B
xdg-user-dirs,S,B
xdg-utils,S,B
xdotool,N,B
xorg,N,B
xorg-xinit,N,B
xsel,N,B
zsh,Y,B
bashmount,N,C
orchis-theme-bin,N,C
pam-gnupg,N,C
pambase,R,B
picom-git,N,C
tela-icon-theme-bin,N,C
oh-my-zsh-git,N,C
ttf-meslo-nerd-font-powerlevel10k,N,C
zsh-theme-powerlevel10k,N,B
